season,episode_num,title,original_air_date,imdb_rating,total_votes,desc
9,6,Who Are You Now?,2018-11-11,7.8,8304,The Survivors encounter unfamiliar faces outside the safety of their community's walls and must decide whether or not this new group can be trusted.
9,7,Stradivarius,2018-11-18,7.2,7628,Carol seeks out an old friend living alone in a wilderness teeming with walkers; survivors make the perilous trek to a new home.
9,8,Evolution,2018-11-25,8.8,10215,"A small rescue mission braves a dangerous herd in their hunt for a missing comrade, only to discover a surprising threat that could doom them all."
9,9,Adaptation,2019-02-10,7.9,7086,The group unmasks a disturbing and dangerous new threat. An escaped captive revisits his past.
9,10,Omega,2019-02-17,7.8,7118,Another arrival at the Hilltop Colony reveals information about the leader of a hostile new group of savages. A party searches for Alden and Luke.
9,11,Bounty,2019-02-24,7.7,6996,"The Whisperers, led by Alpha, confront the Hilltop in a harrowing attempt to retrieve her daughter; a supply run for the Kingdom turns into a dangerous quest."
9,12,Guardians,2019-03-03,7.7,6735,"While one community struggles to ease tensions that threaten to divide from within, the true nature of another group comes into focus; a mission to rescue a friend has potentially deadly consequences."
9,13,Chokepoint,2019-03-10,8.2,7264,"Daryl's daring rescue mission forces Alpha to unleash a group of her own to retrieve what belongs to her, even if the price is paid in blood; the Kingdom's plans to reunite the communities are put in jeopardy."
9,14,Scars,2019-03-17,7.9,7546,An outsider's arrival forces Alexandria to rehash devastating old wounds; eye-opening secrets from the past are revealed.
9,15,The Calm Before,2019-03-24,9.3,13501,"The four communities come together in celebration at the Kingdom's fair, but while some pacts are renewed, others come at a much steeper price."
9,16,The Storm,2019-03-31,7.6,7929,"In the aftermath of an overwhelming loss, the communities must brave a ferocious blizzard; as one group deals with an enemy from within, another is forced to make a life or death decision."
10,1,Lines We Cross,2019-10-06,7.4,7677,The group in Oceanside continues to train in case the Whisperers return; tensions are high as the heroes struggle to hold onto their concept of civilization.
10,2,We Are the End of the World,2019-10-13,7.0,7317,The origins of Alpha and Beta are revealed; Alpha attempts to toughen up Lydia as they prepare to walk with the dead; the Whisperers create their herds.
10,3,Ghosts,2019-10-20,7.5,6766,"The threat of the Whisperers return leads to paranoia sweeping over Alexandria; in the meantime, Carol battles with the need for revenge."
10,4,Silence the Whisperers,2019-10-27,7.1,6500,"The outcast Lydia is badly treated by three Alexandrians. When Negan saves her from an attack, the life changes in Alexandria. Meanwhile Michonne and a group of Alexandrians head to Hilltop to save survivors of a collapsed wall."
10,5,What It Always Is,2019-11-03,8.0,6965,Supplies go missing from Hilltop; Negan is idolized by Brandon; Ezekiel holds a secret.
10,6,Bonds,2019-11-10,7.7,6316,Carol and Daryl go on a mission together; Siddiq struggles to solve a mystery.
10,7,Open Your Eyes,2019-11-17,7.7,6419,Carol pushes boundaries that make Daryl uneasy; Alpha and Beta have reservations about someone.
10,8,The World Before,2019-11-24,7.2,6204,A fight causes tensions in Oceanside; The Alexandrians set out on a high-stakes mission.
10,9,Squeeze,2020-02-23,7.4,6407,The collected communities are reluctantly respecting the new borderlines being imposed on them.
10,10,Stalker,2020-03-01,8.0,6567,The group must defend Alexandria from a threatening outside force.
10,11,Morning Star,2020-03-08,8.3,6827,"The Whisperers are coming for Hilltop, after Daryl and Lydia's encounter with Alpha, the communities must decide whether to run or fight; Eugene's communication with Stephanie gets complicated."
10,12,Walk with Us,2020-03-15,9.0,9366,The survivors try to escape from the Whisperer's walkers horde after the battle of Hilltop.
10,13,What We Become,2020-03-22,7.7,7533,"Michonne takes Virgil back to his mysterious island to reunite with his family; in exchange, Virgil promises weapons that could change the tide of the Whisperer War."
10,14,Look at the Flowers,2020-03-29,7.8,6144,"Heroes and villains reckon with the aftermath of the Hilltop fire; Eugene takes a group on a journey to meet Stephanie, with the hopes of befriending another civilization."
10,15,The Tower,2020-04-05,7.4,6130,"The communities prepare for the final battle of the Whisperer War; meanwhile, Eugene's group encounters Princess."
10,16,A Certain Doom,2020-10-01,8.3,8369,Beta engages the final battle of the Whisperer War.
10,17,Home Sweet Home,2021-02-21,7.1,7271,"Maggie returns, to the dismay of Negan; the trials she endured since leaving have made her harder in order for her and her son to survive; Daryl and Maggie unexpectedly fight an unseen and unknown threat."
10,18,Find Me,2021-03-04,6.2,7570,Daryl and Carol find an old cabin that takes Daryl back to his years away from the group after Rick disappeared; he relives the painful memory of meeting a reticent survivor and the toxic events that amplified his relationship with Dog.
10,19,One More,2021-03-11,7.3,7477,"With Maggie's map, Gabriel and Aaron search for food and supplies to bring back to Alexandria; checking out one more location, they chance upon a stash; faith is broken and optimism is fragmented when they are put to the ultimate test."
10,20,Splinter,2021-03-18,5.2,8747,"Eugene, Ezekiel, Yumiko, and Princess are captured and separated. Princess struggles with memories of her traumatic past and tries to escape one way or another with the help of Ezekiel."
10,21,Diverged,2021-03-25,4.1,10179,"Daryl and Carol come to a fork in the road and head their separate ways. Each going into their own type of survival mode, the easiest of challenges become much harder."
10,22,Here's Negan,2021-04-04,9.2,13756,"Carol takes Negan on a journey, hoping to minimize the increasing tension. Negan reflects on the events that led him to this point and comes to a conclusion about his future."
11,1,Acheron: Part I,2021-08-15,8.3,9021,"Daryl leads a team to scavenge the military base he discovered; Maggie tells her story, prompting a new mission for survival that only Negan can lead; Eugene and his group go through assessment by the Commonwealth's paramilitary police."
11,2,Acheron: Part II,2021-08-22,8.4,8010,"Maggie's mission takes the team through a subway tunnel, challenged by a recalcitrant Negan and lurking walkers; with Eugene's group, Yumiko searches for answers about her brother and challenges the processes at the Commonwealth outpost."
11,3,Hunted,2021-08-29,7.7,7055,"Maggie's mission team gets separated and hunted by the Reapers; Carol, Rosita, Magna and Kelly attempt to catch horses for Alexandria; Judith, RJ, Hershel and Gracie cope with their parents going away."
11,4,Rendition,2021-09-05,7.2,6874,Daryl and Dog get captured by the Reapers; they are taken to the Meridian and reconnect with a familiar figure from their past.
11,5,Out of the Ashes,2021-09-12,7.5,6228,"Aaron, Carol, Lydia, and Jerry go to the Hilltop ruins for blacksmith tools and nearby game; Eugene's group goes through orientation at the Commonwealth; Maggie and Negan trudge through the woods; Judith and the kids clash with teenagers."
11,6,On the Inside,2021-09-19,8.6,8205,"Escaping from walkers, Connie and Virgil hide in a house occupied by mysterious creatures; Pope tests Daryl's loyalty to the Reapers with a conflicting mission; Kelly leaves Alexandria in search of Connie."
11,7,Promises Broken,2021-09-26,7.7,5923,Maggie and Elijah learn a new survival tactic from Negan; Eugene's group clears walkers to pay their fines; Yumiko interviews for an upper-class job; Daryl learns more about Leah and the Reapers; Gabriel encounters a man of God.
11,8,For Blood,2021-10-03,8.3,6569,"The Reapers defend Meridian from an incoming herd; Pope suspects Maggie is behind the attack, while Daryl treads carefully; Alexandrians scramble to protect themselves when a violent storm leaves them vulnerable to walkers."
11,9,No Other Way,2022-02-13,8.7,7956,"Hellfire rains down on those at Meridian as every fight with the Reapers proves to be a brutal battle. At home in Alexandria, the violent rainstorm rages on as walkers continue to pour in, threatening everyone's safety."
11,10,New Haunts,2022-02-20,7.4,5827,The heroes experience Halloween in the Commonwealth; Daryl and Rosita undergo military training led by Mercer; Carol investigates Ezekiel's medical condition.
11,11,Rogue Element,2022-02-27,6.6,5760,Eugene looks for Stephanie after she mysteriously goes missing. Connie investigates a story on Trooper Davis. Carol helps Hornsby with a labor dispute at a drug farm.
11,12,The Lucky Ones,2022-03-06,7.0,5103,"Aaron and Maggie meet Gov. Pamela Milton as she tours Alexandria, Oceanside and Hilltop; Ezekiel finds himself lucky during a routine checkup; Eugene processes Max's story."
11,13,Warlords,2022-03-13,8.2,5625,"Maggie, Lydia, and Elijah help a stranger from another community called Riverbend. They run into Aaron, who tells them about a mission he embarked on with Gabriel as emissaries for the Commonwealth."
11,14,The Rotten Core,2022-03-20,8.2,5347,"Maggie, Lydia and Elijah help Aaron and Gabriel on a rescue mission; in the chaos, Negan finds himself watching over Hershel; Sebastian coerces Daryl and Rosita into pulling a heist."
11,15,Trust,2022-03-27,7.4,4779,"Hornsby marches Daryl and troops to confront Maggie at Hilltop; after a harrowing heist, Rosita gets Connie, Kelly, Eugene, and Max to investigate the Miltons; Ezekiel helps hospital patients in need."
11,16,Acts of God,2022-04-03,7.8,5416,Maggie prepares to defend Hilltop and the people of Riverbend against Hornsby.
11,17,Lockdown,2022-10-02,7.4,4935,Daryl and Negan rush to the commonwealth to stop Hornsby from going after their families. Pamela deals with protesters demanding justice for Sebastian's crimes. Mercer needs Rosita's help to fight a swarm.
11,18,A New Deal,2022-10-02,7.5,4751,"Carol makes a deal with Pamela to wipe the slate clean on behalf of her friends. Aaron, Jerry, Lydia and Elijah get on the road to Oceanside to fill them in on a plan. The Commonwealth celebrates Founders Day."
11,19,Variant,2022-10-09,7.2,4325,"Eugene goes on the run, and Mercer is tasked to find him; Aaron's group faces a complication on the road."
11,20,What's Been Lost,2022-10-16,7.3,4474,Daryl and Carol search for their disappeared friends.
11,21,Outpost 22,2022-10-23,7.2,4363,The survivors track a convoy to a mysterious destination.
11,22,Faith,2022-10-30,7.9,4891,Ezekiel and Negan plan a work camp revolt; Eugene stands trial with Yumiko as his defense attorney.
11,23,Family,2022-11-06,8.6,6483,"Reunited, the group heads back to the commonwealth where the aftermath of Eugene's trial is felt."
11,24,Rest in Peace,2022-11-20,8.3,11220,Our survivors must save their kids and the Commonwealth.
